Date,Content,Name,Rating
2/1/2019,better than pubg,,4
2/1/2019,good,,5
2/1/2019,Very nice game,Marinell Intia,5
2/1/2019,It's actually very good excellent in long term I will recommend this game play it and have fun,Jibananda Das,5
2/1/2019,ass hole update..not working since I updated the new update,Vijesh Vijayan,1
2/1/2019,good game I have ever seen,Jayakumar Vasudevan Nair,5
2/1/2019,"This game is a good game for kids to have fun %100=5star, Weldone SUPERCELL",,5
2/1/2019,This engrosses the kids to talk to the world,Croma C,5
2/1/2019,best,,5
2/1/2019,best game,,5
2/1/2019,অনেক ভালো,wahid hossain,5
2/1/2019,i love yu coc,wangdi LAMA,5
2/1/2019,my favourite,,5
2/1/2019,i like this game,,5
2/1/2019,Very good game,,5
2/1/2019,download it now,,4
2/1/2019,when was come coc 20 please realese coc 2,vinodkumar sharma,5
2/1/2019,it is very good game,Rakesh Kumar,5
2/1/2019,Best game of universe,,5
2/1/2019,VERY GOOD GAME,,5
2/1/2019,fun,Daniel Dubon,5
2/1/2019,so nice,,5
2/1/2019,time based game,,5
2/1/2019,Mast gzzab,gaurav suman,5
2/1/2019,"pubg is wrost game but, Coc is great",Jagpreet singh,5
2/1/2019,amazing app,crazy king,5
2/1/2019,awesome,Ravi kumar t gowda,5
2/1/2019,Some how like it,,5
2/1/2019,super,Vegan Vegan,5
2/1/2019,U have to make some new heroes in clash of clans in every year with townhalls.,,4
2/1/2019,Worlds best game!!!!!,vijay ingle,5
2/1/2019,👍👍👍👍👍👍👍👍👍,ASHISH pandey,5
2/1/2019,Best game,,5
2/1/2019,goblins are sexy.,eltrut innit,5
2/1/2019,we want more updated,cartoon tamilzha,5
2/1/2019,Jabse pubg aya hai tab se coc ki band baj gaye,,5
2/1/2019,The most fun game ever!,Junho Moon,5
2/1/2019,"best game in the world 1.coc 2.pubg I want to meet the producer of this game.... enjoy, town hall 12",,5
2/1/2019,nice game,,5
2/1/2019,this is good game I'm playing this game for last two years. I love this,Aakash Ehmad,5
2/1/2019,Abir Abir,,5
2/1/2019,One of the best games ever!!!?,,5
2/1/2019,nice for me,Binod Ramchiary,5
2/1/2019,this game is really good new update would be better and new battle compition like heroe battle,Hillel Maravillas,5
2/1/2019,good news,,5
2/1/2019,It is the best game in the world,Shushil Srivastava,5
2/1/2019,osm...very very osm,,5
2/1/2019,much addictive. nice gameplay and experience.love with it😍😍😍😍.,Manav Keshri,5
2/1/2019,very good game..,,5
2/1/2019,It gives relaxing to my mind,gnana Prakash,5
2/1/2019,"challenging game, I really like to play this game, I hope in the future supercell keep going. Recently my account was taken by people with the help of the center, I succeeded can return my account. thank you supercell",aziz imaxx,5
2/1/2019,i love it,,5
2/1/2019,this game is full of excitement and tradgey,joby sajimon,5
2/1/2019,good,Kiran Shukla,5
2/1/2019,good,,5
2/1/2019,"i just realize whats going on with this game its basicly letting people know where their place is, get a higher rank battle pro players and getting beat up by them. weak player will pray upon and stronger player will keep growing...with the game rule, stay on your rank/place",jey beyon,2
2/1/2019,I love clash of clans and i love heroes and i care my home base and builder base . My nice troops is pekka archer gaint wizard healer dragon valkyrie hog rider minion my all unlock troops is best cool and sweet and I love my sexy troops.Thought the clash of clans is best game.It is very beautiful,Mrunaline Joshi,5
2/1/2019,good game,,5
2/1/2019,i love coc,,5
2/1/2019,I am so excited to play this game. Will give the rating later.,Muzzammal Hossain,5
2/1/2019,nice good fantastic.... waiting for new updates..A crazy coc player,,5
2/1/2019,coc is cool,,5
2/1/2019,can you remove the builder base or atleast take it away from me i really hate it,,1
2/1/2019,Fantastic,,5
2/1/2019,new update is very slow loading update we have to wait too much it is borinv,,5
2/1/2019,"challenging game, I really like to play this game, I hope in the future supercell keep going. Recently my account was taken by people with the help of the center, I succeeded can return my account. thank you supercell",mohd hafiz,5
2/1/2019,its just awesome,Blessed Hlongwane,5
2/1/2019,best game,Asit Sen,5
2/1/2019,it is very good game but need TH 1000,neel diwedi,5
2/1/2019,"Who the creater may be a hard work but plz add the map in the game and to find who, s online in the game plz update the features near to 2021",,3
2/1/2019,This is the best game that I ever play,Binkrishna U,3
2/1/2019,best game,,5
2/1/2019,"1 of the best strategy game on play store i like it so much but if u add that we trade dark elixir,elixir,Gold,magic items so it much better",Lucky Mishra,5
2/1/2019,Always written maintaining break,,3
2/1/2019,Always written maintaining break,,3
2/1/2019,good game,Sharmin Yasmin,5
2/1/2019,Lovely game,SOURAV 360,5
2/1/2019,അടി powli game so interesting and so cool,,5
2/1/2019,good,Adi Adarsh,4
2/1/2019,because it just says update but i already updated it,VonGamer123 garcia,1
2/1/2019,good but it can be more good by town hall 13,,5
2/1/2019,llorinnico,laarni madrid,5
2/1/2019,Best,jahangir sakar,5
2/1/2019,GG,,5
2/1/2019,cool,SONALI PATIL,5
2/1/2019,superb msttt osm jhakkas garda gjb,D music,5
2/1/2019,nice,,5
2/1/2019,tate app s,,1
2/1/2019,I like the most this game apk,,5
2/1/2019,too much addicted,,5
2/1/2019,it is the best stratergy game in the world,Sakshee Srivastava,5
2/1/2019,nice game,Ayan Bera,5
2/1/2019,this is the best game so far,Kevin Mills,5
2/1/2019,world no.1game best game in this world,,5
2/1/2019,Nothing to say but only one sentence i have to say that this is my favourite if you play it's become your favourite.,Sanchita Modak,5
2/1/2019,GOOD ENOUGH..,,2
2/1/2019,very intresting game is very hard and very inteligent,,5
2/1/2019,Super game,Shehan Madusanka,5
2/1/2019,good,,5
2/1/2019,Mast,,5
2/1/2019,"Greatest game ever ,just know how to play it and it will be a great experience",,5
2/1/2019,Excellent work by supercell,TECH SSC,5
2/1/2019,my fiverate,,5
2/1/2019,best game ever,vivek raj,5
2/1/2019,hella awsome,,5
2/1/2019,slow loading any time game loads again 😠😠😡😡😡😈😈😈,,5
2/1/2019,very nice game ive ever played,Ramon Canimo,5
2/1/2019,It is a best of all games .I would like it,Rejaul Bhuiyan,5
2/1/2019,this game is besr,lakshya yadav,1
2/1/2019,good,Ali Tokatli,5
2/1/2019,this is very good game,,5
2/1/2019,"it's very boring game, only time waste , plz focus of ur career",hardev bhatiya,5
2/1/2019,Sensational!,Denzell Maxwell,5
2/1/2019,ok,,5
2/1/2019,BEST GAME EVER,ŠÃŘŤHÃK ĞÃMÊŘ,5
2/1/2019,very nice game,,4
2/1/2019,😀,,5
2/1/2019,good games,,5
2/1/2019,really nice game,,5
2/1/2019,I really like this game,,5
2/1/2019,nice game,,5
2/1/2019,this game is my best.i am 5std game installed 2townhall today my townhall12 global top 3,,5
2/1/2019,its an awesome game with good qality i really loved it i am playing it since 2 years,,5
2/1/2019,Cool everyone should play,,5
2/1/2019,awesome dude I newer scold this game it has no add,,5
2/1/2019,👎👎👎👎👎👎👎pubg is better than coc😒😒😒😒😒😒😒😒,GAMING ZONE,1
2/1/2019,wonder wonder wonder this game is really a wonder or i would say its a miracle but they should improve the graphics,Amarjeet Arora,5
2/1/2019,If it would be offline then it is better.,,5
2/1/2019,Nice to play. construction time takes long.,N SP,3
2/1/2019,best game ever,Prashant Dagar,5
2/1/2019,osem,,5
2/1/2019,got th9 other account coc is best supercell game thank you for the game,,5
2/1/2019,nice,,5
2/1/2019,Best strategy game but if you play it and reach till th 9 then its very hard to quit the game.,TEERATH PRASAD BAIS,5
2/1/2019,I Love This Game,Kurtlee Tizon,5
2/1/2019,superb game,,5
2/1/2019,Khamdani game,Rakib Malitha,5
2/1/2019,This is the best game,Sourav Mahanti,5
2/1/2019,doesn't even open....after i press on the app to open it my screen goes black and after a few seconds i m back to the home screen...pls help me,TribaL Gaming,1
2/1/2019,very baad game just like bad manner 😟💣💣💣😅,Dharminder singh,2
2/1/2019,since iam playing pubg coc graphics are too low,,3
2/1/2019,वन मं्रालयाने न,Ashvin Sakpal,5
2/1/2019,This game has changed the landscape of the android gaming. And take android gaming to a new direction thanks supercell to bring this legendary game 😘,rohan taak,5
2/1/2019,I love this game The update is awesome but need more army slots,Lost Boy,5
2/1/2019,Best game in the world,,5
2/1/2019,I LOVE THIS GAME TOOOOO MUCH,,5
2/1/2019,Why war spectator cant see war details in current war??,sumon das,5
2/1/2019,Fun!,Lovely De jesus,5
2/1/2019,Cool games,,5
2/1/2019,nice gameplay very addective best game in play store,,5
2/1/2019,nice game,,5
2/1/2019,Nice app,,5
2/1/2019,😍,,5
2/1/2019,this game is very interesting nice game supercell,Mukesh Vallecha,5
2/1/2019,Nice game,,5
2/1/2019,Boring,md Hussain,1
2/1/2019,good game but got banned for trying to get my old account back. twice. pls contact me I want my account back.,Jesso streams,2
2/1/2019,good,,5
2/1/2019,it was super super game,,5
2/1/2019,Best game,,5
2/1/2019,THAT'S GOOD VERY MUCH I GIVE 5 STARTS,SUPER FILMS IN TAMIL,5
2/1/2019,good game...,Omar Ali,5
2/1/2019,the best game i ever had.... its very fun!!!!,,5
2/1/2019,There are many players of Bangladesh. we need Bangladeshi flag as soon as possible.,Mr Mtk,1
2/1/2019,this is the best game of my life,,5
2/1/2019,Love this game so much.. completes my day...so much fun,krischan madayag,5
2/1/2019,verŕrrrrrrrrry gooòoooood game,,5
2/1/2019,Nice game.,,5
2/1/2019,nice game,,5
2/1/2019,great,Ali S,5
2/1/2019,clash of clans best game for world clash clan is my favourite game,,5
2/1/2019,this game is not for Muslim because his builder base statu name of ALLAH,,5
2/1/2019,best games but it need a lot of time,,5
2/1/2019,kkkkkk,Savitri Devi,5
2/1/2019,happy,,5
2/1/2019,worst game in the world,kutty naras,4
2/1/2019,jiooooooo,,5
2/1/2019,Nice game but up gread taking time,surat moharana,5
2/1/2019,wooow game,Nazia Naaz,5
2/1/2019,Nice,,5
2/1/2019,very good,,5
2/1/2019,It works again after the latest update. CoC is again my favorite mobile game :-),Jim C.,4
2/1/2019,best strategic game i played...i play coc since 5 years ago,Mohammad Amin Shayestefar,5
2/1/2019,not yet,,5
2/1/2019,Supercell has do a big mistake to make this game in this game very worst thing is builder bace,abhishek chavan,1
2/1/2019,good game,,5
2/1/2019,good,,5
2/1/2019,unexpected game play,sekhon kanvar bhangra,5
2/1/2019,It is amazing game in the world !!!! Guys.,,5
2/1/2019,nice game,Pushkar Mishra,5
2/1/2019,best but less events of gems,,5
2/1/2019,pubg pubg pubg,AS we do,1
2/1/2019,😘😘,,5
2/1/2019,nice game,S Zabi,5
2/1/2019,so so so nice game.I Love it very much 😀😀❤❤❤.,anshuman chand,5
2/1/2019,add a mode where two players can use there troops to fight each other like a war simulation where two players command there troops 😁😁,NAZI COCO,5
2/1/2019,full interest once u play after u will be attracted to this game,,5
2/1/2019,powerful game,Paras Dhull,5
2/1/2019,nice,Arslan Naeem,5
2/1/2019,very very good game and time killer I loved it 😍 ...,Pratima Mishra,5
2/1/2019,cool and fun to play,,5
2/1/2019,very awesome wallpaper in lunar,AJIT JAYSWAL,5
2/1/2019,awesome,pranjal Rastogi,5
2/1/2019,This game is awesome But please make an update where by you can request for loot. The update will held those who are poor while in war,LAZYBOY MM14,5
2/1/2019,my favourite game is clash of clans,,5
2/1/2019,amaZing,Dark Legend,5
2/1/2019,Supervvvvvvvv,,5
2/1/2019,wonderful game,,5
2/1/2019,wow its amjing game,,1
2/1/2019,it is my favrout game😊😊😊💓💓,,5
2/1/2019,Wow,,5
2/1/2019,nice game,,5
2/1/2019,I love coc good .amezing,,5
2/1/2019,"I join in one clan they gave last level troops and I won in the battles and I get more resources like dark elixir ,elixir and coins from that I built town hall level 9 and I built barracks level 10. Very very very world's best game.",senthil kumar,5
2/1/2019,ok.thanks,,4
2/1/2019,worst game,Vanitha Ghorpade,1
2/1/2019,very very good game,,5
2/1/2019,It is very play full game please upload is mod apk version,Zuni Khan,5
2/1/2019,I 🙋 and my friends👭👬👫 also like ❤❤❤ 👍👍👍 this 🎮🎮🎮,,5
2/1/2019,This game is super my town hall level is 8 paly this game friends,,5
2/1/2019,ni,,5
2/1/2019,Very bad game,,5
2/1/2019,"haha nice game addictive,cool and nice grapics",,5
2/1/2019,this is super... awesome 😉😉😉 literally Best Game Ever!!,Everything Was Here,5
2/1/2019,nice i am th 12 max,,5
2/1/2019,it is the best game in the world,,5
2/1/2019,its too good and time pass it creat skill how to attack,,5
2/1/2019,Best game ever!!! developer should remove that any player can copy other player base feature,SAJAL PANDEY,5
2/1/2019,Almost everything cost real money,Frost Bite,5
2/1/2019,Yes it makes me feel better at times I am getting bored...,Ramyash Maurya,1
2/1/2019,very nice,,5
2/1/2019,good game,Karavadra Piyush,4
2/1/2019,PLZ add town hall 13 and poison mortar,Amit Babbar,5
2/1/2019,best game in the world,,5
2/1/2019,"very awesome game.i love the characters, defensee,spells.........",,5
2/1/2019,It's Amazing game,,5
2/1/2019,very bore game dont download **,Kavitha Santhosh,1
2/1/2019,best game ever i play,Nepali Star,5
2/1/2019,Nice game,Abdul thaseen Abdul Qayyum,5
2/1/2019,very bad game,kavita gupta,5
2/1/2019,nice game I need th 10 id,,5
2/1/2019,we want to buy dark elixirs with league medals,,5
2/1/2019,it is a very ausom and good gameq,,5
2/1/2019,nice,,5
2/1/2019,I think grand warden should be more powerful,,5
2/1/2019,pooooooop you,Jason Tanner,5
2/1/2019,i love this game too much,,5
2/1/2019,Hi new update coc wow highly impessive ilove it icannot forget this game my village is also good join my clan REQ FOR TROOPS LEVEL 1 CLAN LOCATION INTERNATIONAL,Talha Shams,5
2/1/2019,coc is good but pubg is also better i like both the apk,raul thami,5
2/1/2019,snow is not full please again upadate and full snow,,5
2/1/2019,you banned me on nothing i will expose you on all social media supercell is the worst company,,1
2/1/2019,awesome game,,5
2/1/2019,best,,5
2/1/2019,Nice coc game got it !...,Rhol Bolanos,5
2/1/2019,amazing this game is so addicting,N Cipher,5
2/1/2019,my game is not open why?,Nisha Devi,1
2/1/2019,i enjoy this game..,,5
2/1/2019,عالی,arman khorshidvand,5
2/1/2019,Downloading was stopping at 91℅ fix this bug,Srinuvas rao,5
2/1/2019,"i have never seen in this types of games, it is a great game",,5
2/1/2019,i like it but add some things for lower th levels ok,Gaming with clashers,5
2/1/2019,Excellent game by supercell. thankx for making this game. i love this game so much.,Ajay Gaotam,5
2/1/2019,This is a good game I love this game but plz add gold and elxir and dark elxir donations Plz plz plz Thx,Rudransh Gupta,5
2/1/2019,SUPER GAME,,5
2/1/2019,like it very much,Asim Mandal,5
2/1/2019,nice......,Md Raja,5
2/1/2019,very nice,,5
2/1/2019,My building dont show at all and its anoying and it happens alot.,Ashton the one,2
2/1/2019,The downloading content never works and it never goes any loading,Kevin Guruaribam,5
2/1/2019,i like this game so much🙄,,5
2/1/2019,Nice,,5
2/1/2019,cool game,Kuldeep Singh,5
2/1/2019,very intresting,,5
2/1/2019,Its nice but better if they have voice chat,Jason Jones,5
2/1/2019,nice game,,5
2/1/2019,better then pubg,,5
2/1/2019,slow loading i hate this !!!!!,,1
2/1/2019,"there is a problem my clan games is showing that i cannot start any challenge because i gain max point, but problem is there i have did only one challenge and that is showing only 50 points and after that it is not allowing me to start another challenge",Yuvraj Singh,5
2/1/2019,My base is not clear color,,3
2/1/2019,very good strategy game i like it so,,5
2/1/2019,epic,arshith k,5
2/1/2019,Some issue came while I opèn keyboard Try to clear as soon as possible,Imtha Dulla,2
2/1/2019,It is so addicting!! This is the best strategy game ive ever played!!,,5
2/1/2019,BEST,,5
2/1/2019,This game is so nice I so much like this when I felling not better than I am playing this I am biggest fan of coc I love this 😍😍😍😍😍,SRI RAM,5
2/1/2019,"good game , have fun,but there no Pakistani flag",,2
2/1/2019,best game,feel the soul,5
2/1/2019,This game is Excelent,,5
2/1/2019,very good,Saurabh Choudhary,5
2/1/2019,super game,,5
2/1/2019,The greatest and bestest game in universe is coc,Gurkirat Gureta,5
2/1/2019,nice sangat bagus dari dlu ditambah lg updat town hall nya tambah bagus,,5
2/1/2019,nhjb,,5
2/1/2019,this is best geme,,5
2/1/2019,superrrrr game,,5
2/1/2019,nice,sunita mahto,5
2/1/2019,very good game,jeet Banna,5
2/1/2019,Nice game,Ananta Mohanty,5
2/1/2019,this is a very fantastic game,,5
2/1/2019,Best game,HRISHAV RAJ,1
2/1/2019,super game,Gurpreet Singh,5
2/1/2019,good ....,,5
2/1/2019,amazing games,,5
2/1/2019,very nice,,5
2/1/2019,amazing,,5
2/1/2019,great game but 2year ago play this Game but beautiful game,,5
2/1/2019,unique game,,5
2/1/2019,nice,Razi Ahmad,5
2/1/2019,Good app if u see u may join my cln LFHS 3.0 join now,Sarfaraz Mohammed,5
2/1/2019,Animations are little childish,Nahush Kanitkar,4
2/1/2019,verry good,,5
2/1/2019,😀😀😀,,5
2/1/2019,Its Fantabalous!,,5
2/1/2019,One of the best strategic RPG till now!!,Satyabrat Singh,5
2/1/2019,This game is great I love it,SCN8,1
2/1/2019,ive always liked this game its one of the better games of its type on play store a go to game.,Kris Shaw,5
2/1/2019,nice,,5
2/1/2019,bad,tarif raman,5
2/1/2019,their should be tranfer of gems also,,5
2/1/2019,WHERE IS THE REPORT BUTTON,Panda_PlayzYT,1
2/1/2019,happy being with coc,marina bagnol,5
2/1/2019,good,Asyraf Norisham,5
2/1/2019,This is very wonderful game I like this game,Mahesh Bist,5
2/1/2019,very nice game,,5
2/1/2019,its a wonderful game for good mind players,Faiz Bro,5
2/1/2019,awsm game & decent graphics,Shubhankar kumar,5
2/1/2019,best strategy game,Dhiraj Gophane,5
2/1/2019,I love it play it Day and night and I really like the gameplay it is nice and fun it is the best game I have,Henry Jeppe,5
2/1/2019,The most boring game ever...I'm bored from this game. 👎👎👎👎👎,ArkaPrava TaluKder,1
2/1/2019,Good,,5
2/1/2019,nice,erika mae,5
2/1/2019,my th 9full max new update is wow,,5
2/1/2019,Very very much nice game but only need an improvement that is give more gems on town hall 6 please,Learning by vinit Agrawal,5
2/1/2019,Very nice game,s kumar,5
2/1/2019,best game,,5
2/1/2019,great,,5
2/1/2019,best strategy game,Aryan Raj,5
2/1/2019,nothing to say but one word addictive,ANKIT RANA,5
2/1/2019,good,,5
2/1/2019,super cool😎😎😎😎😎😎,,5
2/1/2019,Really good game,,5
2/1/2019,it's the best game.,,5
2/1/2019,Great game every one will love it,,5
2/1/2019,great game,Jim Bell,4
2/1/2019,ggggg,,5
2/1/2019,Excellent,,5
2/1/2019,nice game,Aditya raj Raj,5
2/1/2019,amazing,,5
2/1/2019,I LUV U SUPERCELL. I HAVE ONLY THESE WORDS,Akhil Singh,5
2/1/2019,i loved it and so much adicted game awesome am enjoy,Gopal Maity,5
2/1/2019,its amazing amd fun with your friend,,4
2/1/2019,it's a good game for even it's a time consuming,kraizzer 97th,5
2/1/2019,superrrrrrr.........,,5
2/1/2019,very nice game,,5
2/1/2019,A good game for all,,5
2/1/2019,It is amazing game,,5
2/1/2019,ok ter,sangsoty sang,5
2/1/2019,good,,5
2/1/2019,super,,5
2/1/2019,iodougbrya b Mangum,Jennifer Malcom,5
2/1/2019,very boring,Ashmeet Singh,1
2/1/2019,ive been playing this game for almost 4 years and its always grtting better. good job super cell,,5
2/1/2019,super game,,5
2/1/2019,Change the game music it so boring plz supercell,,4
2/1/2019,good ti play,,5
2/1/2019,This game is a fun game with a way that everyones experience is different.,,5
2/1/2019,nice,,5
2/1/2019,"Super, but training takes too much of time",Puneeth Puneeth,5
2/1/2019,yes i want gems event,,5
2/1/2019,"game is good but there is a drawback gem mine gives only few gems ,there must be a upgrade in which a gem is also available for home village which will give 30 gems in 24 hours.thete must be a th 13 and rlectro dragon msx level will be lvl 5 damage per second 450 hitpoints 5600 and golem lvl 10 damage per second 120 and hitpoints 9000",,4
2/1/2019,best game ever😆,Mohd Rizuan,5
2/1/2019,super,Ravichandra Kovuru,5
2/1/2019,good game for stategy gamers!!!,SUDIPA GHOSH,5
2/1/2019,Lots of time wastage... Time eating... Time hungry.... Keeps waiting for not hours but for a number of days.,Manish Bakde,1
2/1/2019,good app ever,MrLayme Piece,5
2/1/2019,Believe me this a single man game,Debjit Maji,5
2/1/2019,awesome,Mohd Atif ansari,5
2/1/2019,good game 😅😅,Imran Qayyum,5
2/1/2019,awesome,Md Raj,5
2/1/2019,it is a awesome game and it is best strategic game and best graphics and control with very best troops and best league,,5
2/1/2019,Alltime best game.......i am playing this game from many years.........best game ever.... ✨ 🎍 🎃🎃🎃🎃🎃 🎃🔥🎃🎃🎃🔥🎃 🎃🎃🎃🎃🎃🎃🎃🎃 🎃🔥🔥🔥🔥🔥🔥🎃 🎃🔥🔥🔥🔥🔥🎃 🎃🎃🎃🎃🎃,Sayan Mandal,5
2/1/2019,I love clash of clans 😃😃 hay,,5
2/1/2019,Ever since i updated my game application it has stopped loading. I have even uninstalled and installed again (all to no positive result). I'm currently in the middle of an event that will end in 2 hours from now. Please can something be done about this asap? Thanks in anticipation. I HATE THE NEW UPDATE. NOTHING HAS BEEN DONE YET ABOUT THE IMPOSSIBILITY OF IT'S LOADING,Oluwadunsin OLADIPO,2
2/1/2019,best game,,5
2/1/2019,zakaa,Rajdev Bhaskar,5
2/1/2019,I like it,Barad Mitesh,5
2/1/2019,a AWSOM game,,5
2/1/2019,l like play this game,,5
2/1/2019,atttttttttttttttttttttt aaaa,,5
2/1/2019,ARMY TANK,,5
2/1/2019,Very good,,5
2/1/2019,very nice game,,5
2/1/2019,Nice game very nice,Ashish Pihu,5
2/1/2019,osmatic game to kepit time,,5
2/1/2019,osmatic game to kepit time,,5
2/1/2019,valentines day clash of clan,Rk Rony,5
2/1/2019,Best game ever. Hope to see more types of unique troops and spell. Good job!,Alvina Albert,5
2/1/2019,this is the best game ever,legend brother's,5
2/1/2019,good geeme,pranit pol,4
2/1/2019,so so amazing game ever i see😇😇😆,,5
2/1/2019,Best game,Vikas Kokate,5
2/1/2019,mass maram,,5
2/1/2019,wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Arj Awesome,5
2/1/2019,This game is very very good.I love this game very much.And to much addictive game and I think I am addict of this game,,5
2/1/2019,I love This Game,Rahul Sonkar,5
2/1/2019,super,Afzal Hussain,5
2/1/2019,It is best game,,5
2/1/2019,Download it and join our clan Lions,,5
2/1/2019,good game,Sundeep gaming,5
2/1/2019,it is nice game,Soma Sekhar,5
2/1/2019,one of the best fighting building games of 2013 to 2019,,5
2/1/2019,It is a lovely game,toriqul tariq,5
2/1/2019,this is a very interesting and nice game,,5
2/1/2019,I think that it is very very good game,top Hacker's,5
2/1/2019,very nice i love this game so good i like it,,5
2/1/2019,I love this game. It was the first game I ever downloaded when I got my phone,,5
2/1/2019,Good,WordPress Development,5
2/1/2019,"good game, you'll meet new friends around the globe 🙂",Rosaline Tabasan,5
2/1/2019,great game I ever seen,Ganesh Sawant,5
2/1/2019,Vera level Sema 😎😎😎,Hari Sankar,5
2/1/2019,Do more!!! make gems cheaper,,5
2/1/2019,I love clans of clans,Dhanya Shaiju,5
2/1/2019,Petta,Hari E,5
2/1/2019,it's bad,,5
2/1/2019,nice game i like it much....,,5
2/1/2019,Its a nice game ..............but need more new things,Sandhya Murthy,2
2/1/2019,The game should have more town halls,Umair Ahmed,5
2/1/2019,fantastic,,5
2/1/2019,Yangilamasdan oʻynamsa boʻmaydimi,Ahror Saydullayev,1
2/1/2019,its nice to play i am love it,Dhanasri 88,5
2/1/2019,nice game,,5
2/1/2019,it is very nice,,5
2/1/2019,some person was giving his account to me so he told to log in with his email id in supercell now I am not getting that verficafiton code because I log in from his email ID as I was town hall 10,Rupali Alshi,1
2/1/2019,very interesting and challenging 👍,Imran Ahmed,5
2/1/2019,Great as always!,Joshua Kain,5
2/1/2019,this a stragey game,,5
2/1/2019,I enjoy,Gemark Mariano,5
2/1/2019,itsukeee,,4
2/1/2019,nice game it give nice entertaining,selva kumar,4
2/1/2019,make a option so u can see who recently visit ur profile.,Rohan Pawar,5
2/1/2019,awesome game.. m loving it,Narendra pal solanki,5
2/1/2019,i'm playing above 6years this game it's so interesting game i want say a short note for everbody keep play and cross the record or take a record in top clan,,5
2/1/2019,awesome game,joel jubel,5
2/1/2019,"I LOVE THIS GAME SO..,VERY...VERY MUCH. ITS VERY INTERESTING,AMAZING,ENJOYABLE GAME. THIS GAME's GAMEPLAY IS MUCH NICE",Santosh Singar,5
2/1/2019,👍,,5
2/1/2019,after update game is taking too much time for open and getting disconeect again and again I am not be able to play game it sucks or irritating mei olease fix this issue,Ankit Bisht,1
2/1/2019,still good for like 5 year's,,5
2/1/2019,Like it.,Muhammad Jazib,5
2/1/2019,I like this game,,5
2/1/2019,yeah really like it,,5
2/1/2019,i love this game,,5
2/1/2019,gud,,5
2/1/2019,just osm😘but didn't like bat spell getting nerfed😡.,Zahidur Rahman,5
2/1/2019,i will play this game in 2 years this game was so intresting im also like this game and it new version,,5
2/1/2019,amazing strategy,riyaz mohd,5
2/1/2019,සුපිරි,,5
2/1/2019,EXTREMELY ADDICTIVE!!!!😘🤩😍🤯👍,,5
2/1/2019,good,srikanta sasmal,5
2/1/2019,very nice,,5
2/1/2019,jo nhi khela uski maa ka *****,amit verma,5
2/1/2019,nice,Abdul Azeez,5
2/1/2019,yes it is really great game,,5
2/1/2019,att game muja 100 jam,,5
2/1/2019,"war league maintenance isn't good.Like a normal war arrangement system that isn't.Every war league some clan collects max base like th12 max.Who are collect like this base just they can go higher league.Need opponent balance system like coc normal balancing war.If the war league balancing system not improve , coc don't think low level th player..that i think.",copyist bd,3
2/1/2019,doog emag rof neets,Yangfa XD,5
2/1/2019,Go halainn An cluiche,Yopoppin 234,5
2/1/2019,This is special game because it is an interesting game andI love the game and I play COC I am enjoyed the game,,5
2/1/2019,good game ever thanks so much for the inventing that kind of geme,,5
2/1/2019,i have never strataged with any app but i have strataged with this app,pranay,5
2/1/2019,verY gooD,Binan Vincent,5
2/1/2019,good game,,5
2/1/2019,This is world most install game and i like this game tooo,,5
2/1/2019,Its superb,Retro Alex,5
2/1/2019,WTH.....devs.. after the update the game just keeps crashin on the supercell logo please help......!!!,Shailesh Tiwari,5
2/1/2019,it's nice,,5
2/1/2019,this is more exciting game do not stop playing,,5
2/1/2019,good game.,,1
2/1/2019,Best game,Michael Allen,5
2/1/2019,😍,Chathura Madhushanka,5
2/1/2019,My leader is inactive from 2 years and I am CoLeader of my clan ... There are many inactive Coleaders in clan ... I need to kick them out to make some space for friends but Supercell won't understand my problem 😭,Karol Shandilya,5
2/1/2019,Poor game,,1
2/1/2019,This game no reason block my user I'd. After the supercell id come in. Now 3 week never. I hate n give up coc,Raga S,1
2/1/2019,your game very nice and good,,5
2/1/2019,wow this games is so fun of paying but this is devil games,mercie max,5
2/1/2019,It's my best game,Adl Gym,5
2/1/2019,please give me gems,,5
2/1/2019,"we need builder upgrade for 2X, 3X speed for builder",,5
2/1/2019,good,Ayush Kumar,5
2/1/2019,great game,,5
2/1/2019,i love this game,,5
2/1/2019,Best strategic mobile game ever!!!,Sipho Yaggy Khumalo,5
2/1/2019,I love this game... time killer,ian balocon,5
2/1/2019,superb,Ayya Durai,5
2/1/2019,Very good game !!,Titan Gaming,4
2/1/2019,cheap worst,Pakistan Film industry,5
2/1/2019,Very good game,,5
2/1/2019,great,Sirgrady KC Law Jr 3rd,5
2/1/2019,hi nv,,5
2/1/2019,It is the best game in the world,Savita Choudhary,5
2/1/2019,Better than PUBG......,,5
2/1/2019,yeet,HI5_ Qiwi,5
2/1/2019,awesome,,5
2/1/2019,nice games,,5
2/1/2019,TOOP AND THANKS,,5
2/1/2019,very nice but we want another village,D VINOD KUMAR,5
2/1/2019,so far so good,gilbert abbie,5
2/1/2019,sidharth,,3
2/1/2019,Great game,,5
2/1/2019,Karthik papasani,Papasani Rajy Swary,5
2/1/2019,Awesome i like it...,,5
2/1/2019,good,,5
