Date,Content,Name,Rating
2/1/2019,very excellent guys. i love it most..,MiChen SalQueda,5
2/1/2019,oh can't delete it,,5
2/1/2019,vshj,,5
2/1/2019,Loved this game,Vijay Kumar S Bhuma,5
2/1/2019,this game is nice this game I am any Times playing I am important this game attacks so this game nice,Sajeena Mumthas,5
2/1/2019,this is nice,,5
2/1/2019,"Osm game ,mind playing,time driven......",,5
2/1/2019,nice game,,5
2/1/2019,This game is simple but mind blowing game,,5
2/1/2019,"It's a very great game, I love it, good graphics, very adicting",chovez wilkinson,5
2/1/2019,icon(+),Saiful Islam,1
2/1/2019,suprb game,Avaish Khan,5
2/1/2019,Now this game nothing.Play only Pubg,,1
2/1/2019,no commeant,,1
2/1/2019,gd game,Prasanta Koley,5
2/1/2019,the game that changed mobile gaming history forever,,5
2/1/2019,nice update so amazing!,,5
2/1/2019,Fantastic game i love it,,5
2/1/2019,i love this game,Imran Kazmi,5
2/1/2019,cool app and cool graphics keep it up,,5
2/1/2019,realy good game,,5
2/1/2019,good game is this super,,5
2/1/2019,i love this game i have had it for a few years now and it always keeps me entertained,Mr Ghosty,5
2/1/2019,best game,neelam soral,5
2/1/2019,what a great and cool game,,5
2/1/2019,Unequal league,Mohit Yadav,3
2/1/2019,this game amazing ...,,5
2/1/2019,Happy,,5
2/1/2019,outstanding game,Shaveta Khajuria,5
2/1/2019,This a very good but difficult game. I download coc in27 jan and i am in townhall 5. my name in coc is TIGER.👍👌,,5
2/1/2019,fine,,5
2/1/2019,love this game,Pradeepa Venkat,4
2/1/2019,good game,,5
2/1/2019,I love this game and always have,BFRESH Parish Givens,5
2/1/2019,very good game,,5
2/1/2019,good,L3vis ChanHang,5
2/1/2019,"Stop the updates, they're nonsense and only get worse.",,3
2/1/2019,md delow,mrk Prio,1
2/1/2019,nice app,,5
2/1/2019,great,Arshley Mclaughlin,5
2/1/2019,great and addictive.. i love it,,5
2/1/2019,Nice Game,wwe mayhem,4
2/1/2019,make El primo plz,,5
2/1/2019,ggg kk,Livingston Livi,5
2/1/2019,beautiful games,,5
2/1/2019,Thanks l love this game,,5
2/1/2019,bhaut bekar game hai download mat krna,,5
2/1/2019,mind blowing gane i dint play this game when i play it is very good game,,5
2/1/2019,Super game for all,Roster Boy MC,5
2/1/2019,"EVERYTHING GOOD , GOOD GRAPHIC, GOOD CONTROL, GOOD GAME PLAY, GOOD GAME CLASH OF CLANS, BEST GAME EVER IN THE WORLD. AND I PLAY THIS GAME AND MY TOWNHALL IS LEVEL 9 .MY TAG IS YGG8QLCLR . IF YOU DON'T PLAY THIS GAME DOWNLOAD NOW .LIKE IF YOU AGREE",,5
2/1/2019,very fun. more when you play with friends,sniping twins,5
2/1/2019,awesome,Crazy Lucky,5
2/1/2019,Thegame is chat to another country people.so it is best then other top 10 game...awsome game..,Pritish Kumar Nayak,5
2/1/2019,one,,5
2/1/2019,best graphics awesome troops and amazing,,5
2/1/2019,I like Coc,Ronak Malla,5
2/1/2019,CLASH OF. CLANS IS MY LOVE I LOVE YOU CLASH OF CLANS,POWER BOY SKL,5
2/1/2019,"great app, love the new updates",Jay Klatt,5
2/1/2019,Turtle Approves,TheLegendary Tortise,5
2/1/2019,oh yes..,,5
2/1/2019,donnt sign up for supercell Id if u forget ur email and try to recover it they will ban you for account phishing for trying to recover it....finally recovered the account after a agent named bill took the time to help me get it back,Ell1psis,4
2/1/2019,my fovurite game is clash of clan,,5
2/1/2019,good game,Ashok Kumar,5
2/1/2019,best so far,Kasun wijesooriya Kasun,5
2/1/2019,how to retrieve account connected on Facebook?,IcyLilvic Ang,3
2/1/2019,Good game,ASRYRS 10,5
